bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2022-03-13 14:24:56.596715,2022-03-11,095570,1,1,0,AJ네트웍스,265482412650,46822295,1000,46822295,2380357,5.08,7320,3970,3.48,1629,N/A,N/A,0.70,8127,4.76,11.66,5670,5670,5660,5720,5550,69010,387,-7962,-20059,28021,미래에셋증권,13607,이베스트,11757,한국증권,11212,NH투자증권,9323,신한금융투자,5391,한국증권,10275,대신,10239,KB증권,8071,흥국증권,6344,신한금융투자,6054,,,,,,0,0,0,0,0
2022-03-13 14:24:57.067552,2022-03-11,006840,1,1,0,AK홀딩스,282835427350,13247561,5000,13247561,539742,4.07,38050,15550,N/A,-7541,N/A,N/A,0.48,44500,0.94,9.07,21350,21350,20400,21500,20400,32025,681,+10576,-4858,-5718,신한금융투자,7997,하나금융투자,4956,제이피모간,4084,키움증권,3168,모건스탠리,2522,키움증권,6798,삼성,4478,신영,3500,신한금융투자,2086,KB증권,2030,,,,,,0,0,0,0,0
2022-03-13 14:24:57.318947,2022-03-11,282330,1,1,0,BGF리테일,3024683550000,17283906,1000,17283906,5403071,31.26,193000,136500,21.90,7992,17.00,10459,3.94,44396,1.71,6.94,175000,175000,168500,177500,168500,95030,16641,-21613,+35763,-14150,미래에셋증권,10861,하나금융투자,10682,유진증권,8207,NH투자증권,6676,리딩,6000,한국증권,22067,미래에셋증권,11680,삼성,9374,메릴린치,8262,신한금융투자,6576,,,,,,0,0,0,0,0
2022-03-13 14:24:57.572810,2022-03-11,027410,1,1,0,BGF,500598816930,95716791,1000,95716791,5212566,5.45,8090,4390,10.87,481,N/A,N/A,0.32,16156,2.10,6.94,5230,5230,5220,5240,5160,82709,430,+13789,+8240,-22029,키움증권,25000,신한금융투자,19769,한국증권,11615,NH투자증권,10525,제이피모간,3720,키움증권,27656,미래에셋증권,11442,한국증권,10377,삼성,9073,신한금융투자,5679,,,,,,0,0,0,0,0
2022-03-13 14:24:57.975224,2022-03-11,138930,1,1,0,BNK금융지주,2477107869600,325935246,5000,325935246,130081639,39.91,9260,6370,3.04,2501,3.00,2658,0.26,28682,7.37,4.43,7600,7600,7430,7600,7410,752714,5662,+84966,-66892,-18074,메릴린치,126064,한국증권,81414,골드만,61741,제이피모간,54639,신한금융투자,48460,KB증권,102183,신한금융투자,76235,골드만,72549,삼성,62697,미래에셋증권,57153,,,,,,0,0,0,0,0
2022-03-13 14:24:58.235813,2022-03-11,001465,1,1,0,BYC우,38338530000,215385,5000,215385,144,0.07,215000,147500,6.09,29219,N/A,N/A,0.32,562296,0.87,5.17,178000,178000,178500,178500,177000,94,16,,,-18074,삼성,37,유안타증권,18,교보,15,키움증권,12,메리츠,12,한화,28,KB증권,19,키움증권,17,NH투자증권,13,유안타증권,6,,,,,,0,0,0,0,0
2022-03-13 14:24:58.502514,2022-03-11,001460,1,1,0,BYC,283575210000,624615,5000,624615,11753,1.88,545000,332000,15.54,29219,N/A,N/A,0.81,562296,0.33,5.17,454000,454000,455500,457000,451500,271,123,-34,-1,35,삼성,166,미래에셋증권,30,SK,17,NH투자증권,13,대신,12,신한금융투자,145,키움증권,71,제이피모간,34,대신,9,미래에셋증권,3,,,,,,0,0,0,0,0
2022-03-13 14:24:58.823946,2022-03-11,001045,1,1,0,CJ우,110750927000,2260223,5000,2260223,187891,8.31,67800,44900,42.46,1154,4.00,11270,0.32,153984,N/A,10.64,49000,49000,48600,49250,48300,1244,60,-62,+275,-213,신영,275,HI증권,252,키움증권,163,신한금융투자,159,한국증권,146,삼성,439,KB증권,369,신한금융투자,205,NH투자증권,119,한국증권,39,,,,,,0,0,0,0,0
2022-03-13 14:24:59.061869,2022-03-11,00104K,1,1,0,CJ4우(전환),301350305600,4226512,5000,4226512,168587,3.99,92400,65700,61.79,1154,6.00,11270,0.46,153984,N/A,10.64,71300,71300,71400,71400,70500,2773,196,+43,+102,-145,유안타증권,1399,키움증권,471,미래에셋증권,166,한국증권,159,NH투자증권,136,KB증권,1100,키움증권,898,한화,199,한국증권,158,유진증권,120,,,,,,0,0,0,0,0
2022-03-13 14:24:59.598551,2022-03-11,001040,1,1,0,CJ,2363336838000,29176998,5000,29176998,5096525,17.47,118000,75200,70.19,1154,7.00,11270,0.53,153984,2.84,10.64,81000,81000,79500,81300,79300,51027,4112,+11426,-7596,-3830,신한금융투자,10076,제이피모간,6048,CLSA,5663,삼성,5139,한국증권,3112,맥쿼리,7312,리딩,6019,신한금융투자,4716,한국증권,4182,하나금융투자,2877,,,,,,0,0,0,0,0
